sub,trial,coh,dir,resp,rt,trialType,prob
0,446,1,1,0,0,1,0.75
0,447,1,1,0,0,1,0.75
0,448,0.1,2,1,0.779932926699985,0,0.75
0,449,1,1,0,0,1,0.75
0,450,1,1,0,0,1,0.75
0,451,0.1,2,1,2.9012221278972,0,0.75
0,452,1,1,0,0,1,0.75
0,453,1,2,0,0,1,0.75
0,454,0,1,1,0.431472167489119,0,0.75
0,455,1,1,0,0,1,0.75
0,456,1,1,0,0,1,0.75
0,457,0.1,1,2,2.50272136472631,0,0.75
0,458,1,2,0,0,1,0.75
0,459,0.15,1,1,0.44801529328106,0,0.75
0,460,1,1,0,0,1,0.75
0,461,1,2,0,0,1,0.75
0,462,1,1,0,0,1,0.75
0,463,0.05,2,2,0.435540901264176,0,0.75
0,464,1,2,0,0,1,0.75
0,465,1,1,0,0,1,0.75
0,466,1,1,0,0,1,0.75
0,467,0.15,1,2,0.372548510087654,0,0.75
0,468,1,1,0,0,1,0.75
0,469,0.05,1,2,0.706672941567376,0,0.75
0,470,1,1,0,0,1,0.75
0,471,0.1,1,1,0.979851057985798,0,0.75
0,472,1,2,0,0,1,0.75
0,473,1,1,0,0,1,0.75
0,474,1,1,0,0,1,0.75
0,475,1,2,0,0,1,0.75
0,476,1,2,0,0,1,0.75
0,477,0.15,2,2,2.45270894968417,0,0.75
0,478,1,1,0,0,1,0.75
0,479,0.1,1,2,0.431949521123897,0,0.75
0,480,1,1,0,0,1,0.75
0,481,1,2,0,0,1,0.75
0,482,1,1,0,0,1,0.75
0,483,1,1,0,0,1,0.75
0,484,0.05,2,2,0.699862311710604,0,0.75
0,485,1,1,0,0,1,0.75
0,486,0.05,1,1,0.957166495674755,0,0.75
0,487,1,2,0,0,1,0.75
0,488,1,1,0,0,1,0.75
0,489,1,1,0,0,1,0.75
0,490,1,2,0,0,1,0.75
0,491,1,2,0,0,1,0.75
0,492,0.15,2,2,0.443976394133642,0,0.75
0,493,1,1,0,0,1,0.75
0,494,1,1,0,0,1,0.75
0,495,0,1,2,0.412974715058226,0,0.75
0,496,1,1,0,0,1,0.75
0,497,1,1,0,0,1,0.75
0,498,1,2,0,0,1,0.75
0,499,1,2,0,0,1,0.75
0,500,1,2,0,0,1,0.75
0,501,1,1,0,0,1,0.75
